run_name,budget,seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,mean_confidence,accuracy_ci95
neural_claq_lambda_s_0_4,0,5,0.0358,0.00027386127875258316,0.0024687573490774157,1.8234452897895492e-05,0.04985422194004059,0.00034004369032912795
neural_claq_lambda_s_0_4,1,5,0.0679,0.0021621748310439643,0.01004950679431931,0.0004363896486405219,0.07982395589351654,0.002684694645529597
neural_claq_lambda_s_0_4,2,5,0.1186,0.005029910535983719,0.04398663751021936,0.010520186919467992,0.14123896956443788,0.0062454588267167824
neural_claq_lambda_s_0_4,3,5,0.1813,0.01594757034786177,0.10001525717565904,0.011505211781667997,0.2151984989643097,0.019801523959761837
neural_claq_lambda_s_0_4,4,5,0.2552,0.016521198503740595,0.1785869334213176,0.016648475921454037,0.29432671666145327,0.02051377738927259
neural_claq_lambda_s_0_4,5,5,0.30460000000000004,0.017875961512601204,0.23056278844337075,0.016881317059642468,0.346688324213028,0.022195937843473016
neural_claq_lambda_s_0_4,6,5,0.3261,0.024711839267848944,0.2567681951276456,0.031006747345752594,0.35950508117675783,0.0306838011482861
neural_claq_lambda_s_0_4,7,5,0.3419,0.020265117813622478,0.275473283604111,0.025557212504057635,0.3735618770122528,0.025162467208532806
neural_claq_lambda_s_0_4,8,5,0.3619,0.02221598523586112,0.30311009428866637,0.03258432508136137,0.39262060523033143,0.02758478905199511
neural_claq_lambda_s_0_4,9,5,0.3702,0.020726191159979205,0.31132777772290166,0.03011629191928857,0.397582870721817,0.025734965383235293
neural_claq_lambda_s_0_4,10,5,0.4001,0.02108138989725296,0.3507974484922842,0.025439410802567414,0.414649760723114,0.02617600286751555
neural_claq_lambda_s_0_4,11,5,0.4149,0.022117300920320267,0.3734296040397641,0.027908012672712985,0.42670477032661436,0.027462256290200656
neural_claq_lambda_s_0_4,12,5,0.4229,0.020339001942081613,0.3851403502488926,0.026330898013909424,0.430982506275177,0.02525420647087918
neural_claq_lambda_s_0_4,13,5,0.4373,0.019370080020485222,0.409665960306315,0.023985722773455113,0.43843419551849366,0.024051131003762532
