run_name,budget,query_concept,count,count_std
neural_baseline_lambda_s_0,4,film_or_video_production,81.0,181.12150617748296
neural_baseline_lambda_s_0,4,literary_writing,61.0,136.40014662748717
neural_baseline_lambda_s_0,4,camera_or_photography_work,15.6,34.88266044899672
neural_baseline_lambda_s_0,4,advanced_degree_or_training,0.0,0.0
neural_baseline_lambda_s_0,4,appearance_or_body_presentation,0.0,0.0
neural_baseline_lambda_s_0,4,building_or_spatial_design,0.0,0.0
neural_baseline_lambda_s_0,4,business_or_client_service,0.0,0.0
neural_baseline_lambda_s_0,4,business_or_management_education,0.0,0.0
neural_baseline_lambda_s_0,4,celebrity_or_public_attention,0.0,0.0
neural_baseline_lambda_s_0,4,child_or_family_care_mentions,0.0,0.0
neural_baseline_lambda_s_0,4,classroom_instruction,0.0,0.0
neural_baseline_lambda_s_0,4,comedy_or_stage_performance,0.0,0.0
neural_baseline_lambda_s_0,4,education_or_academic_work,0.0,0.0
neural_baseline_lambda_s_0,4,fashion_or_modeling_work,0.0,0.0
neural_baseline_lambda_s_0,4,female_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,4,female_pronouns,0.0,0.0
neural_baseline_lambda_s_0,4,financial_or_accounting_work,0.0,0.0
neural_baseline_lambda_s_0,4,fitness_instruction,0.0,0.0
neural_baseline_lambda_s_0,4,gendered_organization_or_award,0.0,0.0
neural_baseline_lambda_s_0,4,health_or_wellness_work,0.0,0.0
neural_baseline_lambda_s_0,4,interior_or_decorative_design,0.0,0.0
neural_baseline_lambda_s_0,4,legal_practice,0.0,0.0
neural_baseline_lambda_s_0,4,legal_support_work,0.0,0.0
neural_baseline_lambda_s_0,4,live_music_or_recording,0.0,0.0
neural_baseline_lambda_s_0,4,male_gendered_titles,0.0,0.0
neural_baseline_lambda_s_0,4,management_or_leadership,0.0,0.0
neural_baseline_lambda_s_0,4,manual_body_treatment,0.0,0.0
neural_baseline_lambda_s_0,4,media_interviews_or_features,0.0,0.0
neural_baseline_lambda_s_0,4,media_or_publishing_work,0.0,0.0
neural_baseline_lambda_s_0,4,medical_training,0.0,0.0
neural_baseline_lambda_s_0,4,mind_body_practice,0.0,0.0
