run_name,budget,seeds,accuracy,accuracy_std,macro_f1,macro_f1_std,mean_confidence,accuracy_ci95
neural_claq_lambda_s_0_4,10,5,0.3811,0.01598984052453307,0.33095009092153294,0.01317360620548441,0.40482538342475893,0.019854009316332306
neural_claq_lambda_s_0_4,11,5,0.4084,0.018599059115987554,0.3635205953279418,0.017135974034839175,0.42098180055618284,0.023093782104785274
neural_claq_lambda_s_0_4,12,5,0.4258,0.02173591497959081,0.39219582857111634,0.023727802006994862,0.43260260820388796,0.026988703098175814
neural_claq_lambda_s_0_4,13,5,0.4413,0.027876065002076626,0.41538147330421643,0.03321544718756943,0.43518842458724977,0.03461270632466648
neural_claq_lambda_s_0_4,14,5,0.46109999999999995,0.02566466442406759,0.44381542107718985,0.03299654281910783,0.4473753571510315,0.03186688984134567
neural_claq_lambda_s_0_4,15,5,0.4678,0.02755812040034661,0.45759720190208863,0.032396422994341055,0.45425896644592284,0.034217925959275086
neural_claq_lambda_s_0_4,16,5,0.47729999999999995,0.021859208585856892,0.4701694712488589,0.02524324985600982,0.456680428981781,0.027141792330285117
neural_claq_lambda_s_0_4,17,5,0.47969999999999996,0.022501666604942818,0.47089606539681617,0.02485434649320735,0.4600572109222412,0.027939509322941418
neural_claq_lambda_s_0_4,18,5,0.48739999999999994,0.024734591162984668,0.48115077178551446,0.026832701861980775,0.4613921523094177,0.03071205135736703
neural_claq_lambda_s_0_4,19,5,0.49590000000000006,0.026183009758238278,0.48582160098734767,0.02699612807899768,0.467050164937973,0.03251050058142231
neural_claq_lambda_s_0_4,20,5,0.5037,0.014956603892595398,0.4971781921050547,0.015028493315449826,0.47213066220283506,0.018571076588829984
