run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,2,6,0.375,0.3241166866705433,0.4048319160938263
neural_baseline_lambda_s_0,2,7,0.4165,0.3623137760835097,0.42782360315322876
neural_baseline_lambda_s_0,2,8,0.4335,0.3996829521738508,0.44338923692703247
neural_baseline_lambda_s_0,2,9,0.459,0.4420361337774213,0.4494641423225403
neural_baseline_lambda_s_0,2,10,0.4685,0.44226323600197626,0.4565408229827881
neural_baseline_lambda_s_0,2,11,0.4705,0.4481893333486987,0.46324634552001953
neural_baseline_lambda_s_0,2,12,0.4645,0.4472282794419245,0.4569152295589447
neural_baseline_lambda_s_0,2,13,0.4785,0.4538083370955089,0.46043384075164795
neural_baseline_lambda_s_0,2,14,0.4845,0.46827542365957636,0.4612671136856079
neural_baseline_lambda_s_0,2,15,0.4895,0.4738634907404318,0.46458232402801514
neural_baseline_lambda_s_0,2,16,0.5035,0.49546624450042626,0.47698211669921875
neural_baseline_lambda_s_0,2,17,0.514,0.5051073286630159,0.49211573600769043
neural_baseline_lambda_s_0,2,18,0.5275,0.5242040671074565,0.4978817105293274
neural_baseline_lambda_s_0,2,19,0.5455,0.5455306618114544,0.504859983921051
neural_baseline_lambda_s_0,2,20,0.563,0.5678711032708675,0.5085416436195374
neural_claq_lambda_s_0_4,2,0,0.0355,0.0024487825067255296,0.04408111050724983
neural_claq_lambda_s_0_4,2,1,0.0645,0.00995316929122765,0.09146151691675186
neural_claq_lambda_s_0_4,2,2,0.1175,0.03319502008100124,0.14373624324798584
neural_claq_lambda_s_0_4,2,3,0.1875,0.10445074208686071,0.23226089775562286
neural_claq_lambda_s_0_4,2,4,0.2685,0.18381364551688728,0.30797189474105835
neural_claq_lambda_s_0_4,2,5,0.2895,0.20436134658891694,0.331896036863327
neural_claq_lambda_s_0_4,2,6,0.3155,0.23976181080655715,0.36683422327041626
neural_claq_lambda_s_0_4,2,7,0.3315,0.2687706453861882,0.36605963110923767
neural_claq_lambda_s_0_4,2,8,0.362,0.2997598494427625,0.39618977904319763
neural_claq_lambda_s_0_4,2,9,0.3775,0.322841739734352,0.40003257989883423
neural_claq_lambda_s_0_4,2,10,0.3785,0.32850462127148533,0.3934280574321747
neural_claq_lambda_s_0_4,2,11,0.4055,0.3631195696766522,0.4074678421020508
neural_claq_lambda_s_0_4,2,12,0.4055,0.3646678145777112,0.40580424666404724
neural_claq_lambda_s_0_4,2,13,0.425,0.3906103527672888,0.41311532258987427
neural_claq_lambda_s_0_4,2,14,0.4645,0.4486966625729997,0.44486528635025024
neural_claq_lambda_s_0_4,2,15,0.493,0.4844996585295559,0.4665248692035675
neural_claq_lambda_s_0_4,2,16,0.507,0.5032024222633936,0.47005921602249146
neural_claq_lambda_s_0_4,2,17,0.5115,0.5023414871124804,0.4728524684906006
neural_claq_lambda_s_0_4,2,18,0.5185,0.513181147691619,0.47419431805610657
neural_claq_lambda_s_0_4,2,19,0.529,0.5242879222312297,0.48825928568840027
neural_claq_lambda_s_0_4,2,20,0.5225,0.5161308911246705,0.4962329566478729
neural_baseline_lambda_s_0,3,0,0.0355,0.0024487825067255296,0.05374807119369507
neural_baseline_lambda_s_0,3,1,0.065,0.009714240052574546,0.09166577458381653
neural_baseline_lambda_s_0,3,2,0.1175,0.03244080437104579,0.15124383568763733
neural_baseline_lambda_s_0,3,3,0.1985,0.1032590447949079,0.23529981076717377
neural_baseline_lambda_s_0,3,4,0.2135,0.13643995636933304,0.2595144510269165
neural_baseline_lambda_s_0,3,5,0.267,0.19250438259866237,0.3009178936481476
neural_baseline_lambda_s_0,3,6,0.2995,0.22854767496458556,0.31627440452575684
neural_baseline_lambda_s_0,3,7,0.31,0.24820137177751397,0.3286583125591278
neural_baseline_lambda_s_0,3,8,0.3345,0.2920541542637935,0.3434017300605774
neural_baseline_lambda_s_0,3,9,0.3345,0.2938347352746046,0.3360058069229126
neural_baseline_lambda_s_0,3,10,0.356,0.3110750816698294,0.34525665640830994
neural_baseline_lambda_s_0,3,11,0.381,0.3364193446259177,0.3674180507659912
neural_baseline_lambda_s_0,3,12,0.3995,0.36188254915747836,0.38280928134918213
neural_baseline_lambda_s_0,3,13,0.414,0.3822789199065507,0.38633424043655396
neural_baseline_lambda_s_0,3,14,0.4085,0.3777851037181898,0.39205023646354675
neural_baseline_lambda_s_0,3,15,0.4315,0.40325620150753405,0.3950934112071991
neural_baseline_lambda_s_0,3,16,0.4505,0.4319948540952169,0.3954204320907593
neural_baseline_lambda_s_0,3,17,0.475,0.4591408364080434,0.41315987706184387
neural_baseline_lambda_s_0,3,18,0.4845,0.46909973977254976,0.4181585907936096
neural_baseline_lambda_s_0,3,19,0.5075,0.49653648311363086,0.42882198095321655
neural_baseline_lambda_s_0,3,20,0.5225,0.5196093475914975,0.43246981501579285
neural_claq_lambda_s_0_4,3,0,0.036,0.002482073910645339,0.04874240979552269
neural_claq_lambda_s_0_4,3,1,0.065,0.010059303869873372,0.07880993187427521
neural_claq_lambda_s_0_4,3,2,0.124,0.06150303233498944,0.1429775059223175
neural_claq_lambda_s_0_4,3,3,0.171,0.08452263622197029,0.18414373695850372
neural_claq_lambda_s_0_4,3,4,0.228,0.14804138068318634,0.2497328817844391
neural_claq_lambda_s_0_4,3,5,0.292,0.22390859793682955,0.3093791902065277
neural_claq_lambda_s_0_4,3,6,0.332,0.26017681871263876,0.34196847677230835
neural_claq_lambda_s_0_4,3,7,0.3485,0.272467295613312,0.35448113083839417
neural_claq_lambda_s_0_4,3,8,0.3625,0.2907244706364782,0.38081708550453186
neural_claq_lambda_s_0_4,3,9,0.372,0.312554189836002,0.3830498158931732
neural_claq_lambda_s_0_4,3,10,0.386,0.3273653724113288,0.38939741253852844
neural_claq_lambda_s_0_4,3,11,0.4125,0.35976790090548255,0.4113233685493469
neural_claq_lambda_s_0_4,3,12,0.4475,0.414117112181037,0.43989378213882446
neural_claq_lambda_s_0_4,3,13,0.4775,0.45551282782283575,0.4422302842140198
neural_claq_lambda_s_0_4,3,14,0.485,0.4709269619328929,0.4526132345199585
neural_claq_lambda_s_0_4,3,15,0.4905,0.4865369182459001,0.4503129720687866
neural_claq_lambda_s_0_4,3,16,0.49,0.4861691126847134,0.4465949237346649
neural_claq_lambda_s_0_4,3,17,0.4915,0.4873182011429686,0.4446209669113159
neural_claq_lambda_s_0_4,3,18,0.5065,0.5049701168498323,0.4481867849826813
neural_claq_lambda_s_0_4,3,19,0.505,0.49646638119838693,0.4517948627471924
neural_claq_lambda_s_0_4,3,20,0.5135,0.5068556626266374,0.4592610001564026
neural_baseline_lambda_s_0,4,0,0.0355,0.0024487825067255296,0.04548574239015579
