run_name,seed,budget,accuracy,macro_f1,mean_confidence
neural_baseline_lambda_s_0,3,17,0.4985,0.47953533331664094,0.48167407512664795
neural_baseline_lambda_s_0,3,18,0.5065,0.4883618444623044,0.490867018699646
neural_baseline_lambda_s_0,3,19,0.513,0.500557053425738,0.4995322823524475
neural_baseline_lambda_s_0,3,20,0.542,0.5390453231341529,0.5092570781707764
neural_claq_lambda_s_0_4,3,0,0.036,0.002482073910645339,0.053848251700401306
neural_claq_lambda_s_0_4,3,1,0.0705,0.010074629855681779,0.0849357470870018
neural_claq_lambda_s_0_4,3,2,0.1235,0.04353316754533452,0.15016913414001465
neural_claq_lambda_s_0_4,3,3,0.187,0.10525920451692213,0.23692362010478973
neural_claq_lambda_s_0_4,3,4,0.2645,0.18710003681229326,0.32467061281204224
neural_claq_lambda_s_0_4,3,5,0.3095,0.22861541177228942,0.3787427246570587
neural_claq_lambda_s_0_4,3,6,0.3235,0.24557145670829916,0.3679908812046051
neural_claq_lambda_s_0_4,3,7,0.3225,0.24893275387475478,0.3614398241043091
neural_claq_lambda_s_0_4,3,8,0.34,0.2746687983968351,0.3702552616596222
neural_claq_lambda_s_0_4,3,9,0.34,0.2685821701090052,0.36094188690185547
neural_claq_lambda_s_0_4,3,10,0.385,0.3317500061051918,0.3876482844352722
neural_claq_lambda_s_0_4,3,11,0.385,0.3356247495785233,0.3918321430683136
neural_claq_lambda_s_0_4,3,12,0.394,0.34737351131927335,0.4027532935142517
neural_claq_lambda_s_0_4,3,13,0.4155,0.37906042707905035,0.4069814682006836
neural_claq_lambda_s_0_4,3,14,0.4325,0.40680866893918216,0.4036642014980316
neural_claq_lambda_s_0_4,3,15,0.445,0.4202292390164174,0.40065765380859375
neural_claq_lambda_s_0_4,3,16,0.423,0.39354592309545844,0.40289148688316345
neural_claq_lambda_s_0_4,3,17,0.441,0.4183635434850571,0.40674468874931335
neural_claq_lambda_s_0_4,3,18,0.45,0.43268830774850514,0.40516871213912964
neural_claq_lambda_s_0_4,3,19,0.4685,0.4505559684070061,0.40789830684661865
neural_claq_lambda_s_0_4,3,20,0.467,0.44325511091673503,0.4176599681377411
neural_baseline_lambda_s_0,4,0,0.0355,0.0024487825067255296,0.04526824131608009
neural_baseline_lambda_s_0,4,1,0.065,0.009240535346442794,0.08859208971261978
neural_baseline_lambda_s_0,4,2,0.1155,0.04044465782482546,0.16389544308185577
neural_baseline_lambda_s_0,4,3,0.191,0.09525444350753523,0.24020574986934662
neural_baseline_lambda_s_0,4,4,0.284,0.19758288480263128,0.3322281837463379
neural_baseline_lambda_s_0,4,5,0.3455,0.2769745404681902,0.3757476210594177
neural_baseline_lambda_s_0,4,6,0.378,0.3292865911032842,0.4191827178001404
neural_baseline_lambda_s_0,4,7,0.4045,0.3577897877237782,0.4333646297454834
neural_baseline_lambda_s_0,4,8,0.4355,0.39636799166398834,0.4605301022529602
neural_baseline_lambda_s_0,4,9,0.449,0.41934092045053123,0.4586077034473419
neural_baseline_lambda_s_0,4,10,0.454,0.4231092509143388,0.4688073992729187
neural_baseline_lambda_s_0,4,11,0.4615,0.4327968955549398,0.46540454030036926
neural_baseline_lambda_s_0,4,12,0.461,0.43016999676540724,0.45982056856155396
neural_baseline_lambda_s_0,4,13,0.479,0.4527199548589563,0.4801750183105469
neural_baseline_lambda_s_0,4,14,0.498,0.47958823799641104,0.49621161818504333
neural_baseline_lambda_s_0,4,15,0.519,0.5152512536607396,0.5054388046264648
neural_baseline_lambda_s_0,4,16,0.5265,0.5230596957149829,0.5111600160598755
